rxn	KEGG_rxn_id	ec_code	direction	substrates_name	substrates_kegg	products_name	products_kegg	genes_model	kegg_genes	intersection_genes
PTAr	R00230	2.3.1.8	reverse	Acetyl phosphate;Coenzyme A	C00227;C00010	Acetyl-CoA;Phosphate	C00024;C00009	b2297	b2297	b2297
PTAr	R00230	2.3.1.8	forward	Acetyl-CoA;Phosphate	C00024;C00009	Acetyl phosphate;Coenzyme A	C00227;C00010	b2458	b2297	
PTAr	R00230	2.3.1.8	reverse	Acetyl phosphate;Coenzyme A	C00227;C00010	Acetyl-CoA;Phosphate	C00024;C00009	b2458	b2297	
PYK	R00200	2.7.1.40	forward	ADP C10H12N5O10P2;H+;Phosphoenolpyruvate	C00008;C00080;C00074	ATP C10H12N5O13P3;Pyruvate	C00002;C00022	b1854	b1676;b1854	b1854
PYK	R00200	2.7.1.40	forward	ADP C10H12N5O10P2;H+;Phosphoenolpyruvate	C00008;C00080;C00074	ATP C10H12N5O13P3;Pyruvate	C00002;C00022	b1676	b1676;b1854	b1676
RPE	R01529	5.1.3.1	forward	D-Ribulose 5-phosphate	C00199	D-Xylulose 5-phosphate	C00231	b3386	b3386	b3386
RPE	R01529	5.1.3.1	reverse	D-Xylulose 5-phosphate	C00231	D-Ribulose 5-phosphate	C00199	b3386	b3386	b3386
RPE	R01529	5.1.3.1	forward	D-Ribulose 5-phosphate	C00199	D-Xylulose 5-phosphate	C00231	b4301	b3386	
RPE	R01529	5.1.3.1	reverse	D-Xylulose 5-phosphate	C00231	D-Ribulose 5-phosphate	C00199	b4301	b3386	
CS	R00351	2.3.3.16	forward	Acetyl-CoA;H2O H2O;Oxaloacetate	C00024;C00001;C00036	Citrate;Coenzyme A;H+	C00158;C00010;C00080	b0720		
CS	R00351	2.3.3.1	forward	Acetyl-CoA;H2O H2O;Oxaloacetate	C00024;C00001;C00036	Citrate;Coenzyme A;H+	C00158;C00010;C00080	b0720	b0720	b0720
CS	R00351	2.3.3.3	forward	Acetyl-CoA;H2O H2O;Oxaloacetate	C00024;C00001;C00036	Citrate;Coenzyme A;H+	C00158;C00010;C00080	b0720		
RPI		5.3.1.6	forward	Alpha-D-Ribose 5-phosphate	C03736	D-Ribulose 5-phosphate	C00199	b2914	b2914;b4090	b2914
RPI		5.3.1.6	reverse	D-Ribulose 5-phosphate	C00199	Alpha-D-Ribose 5-phosphate	C03736	b2914	b2914;b4090	b2914
RPI		5.3.1.6	forward	Alpha-D-Ribose 5-phosphate	C03736	D-Ribulose 5-phosphate	C00199	b4090	b2914;b4090	b4090
RPI		5.3.1.6	reverse	D-Ribulose 5-phosphate	C00199	Alpha-D-Ribose 5-phosphate	C03736	b4090	b2914;b4090	b4090
ENO	R00658	4.2.1.11	forward	D-Glycerate 2-phosphate	C00631	H2O H2O;Phosphoenolpyruvate	C00001;C00074	b2779	b2779	b2779
ENO	R00658	4.2.1.11	reverse	H2O H2O;Phosphoenolpyruvate	C00001;C00074	D-Glycerate 2-phosphate	C00631	b2779	b2779	b2779
SUCOAS	R00405	6.2.1.5	forward	ATP C10H12N5O13P3;Coenzyme A;Succinate	C00002;C00010;C00042	ADP C10H12N5O10P2;Phosphate;Succinyl-CoA	C00008;C00009;C00091	b0728;b0729	b0728;b0729	b0728;b0729
SUCOAS	R00405	6.2.1.5	reverse	ADP C10H12N5O10P2;Phosphate;Succinyl-CoA	C00008;C00009;C00091	ATP C10H12N5O13P3;Coenzyme A;Succinate	C00002;C00010;C00042	b0728;b0729	b0728;b0729	b0728;b0729
TALA	R01827	2.2.1.2	forward	Glyceraldehyde 3-phosphate;Sedoheptulose 7-phosphate	C00661;C05382	D-Erythrose 4-phosphate;D-Fructose 6-phosphate	C00279;C05345	b2464	b0008;b2464	b2464
TALA	R01827	2.2.1.2	reverse	D-Erythrose 4-phosphate;D-Fructose 6-phosphate	C00279;C05345	Glyceraldehyde 3-phosphate;Sedoheptulose 7-phosphate	C00661;C05382	b2464	b0008;b2464	b2464
TALA	R01827	2.2.1.2	forward	Glyceraldehyde 3-phosphate;Sedoheptulose 7-phosphate	C00661;C05382	D-Erythrose 4-phosphate;D-Fructose 6-phosphate	C00279;C05345	b0008	b0008;b2464	b0008
TALA	R01827	2.2.1.2	reverse	D-Erythrose 4-phosphate;D-Fructose 6-phosphate	C00279;C05345	Glyceraldehyde 3-phosphate;Sedoheptulose 7-phosphate	C00661;C05382	b0008	b0008;b2464	b0008
THD2		1.6.1.1	forward	H+;Nicotinamide adenine dinucleotide - reduced;Nicotinamide adenine dinucleotide phosphate	C00080;C00004;C00006	H+;Nicotinamide adenine dinucleotide;Nicotinamide adenine dinucleotide phosphate - reduced	C00080;C00003;C00005	b1602;b1603	b3962	
TKT1		2.2.1.1	forward	Alpha-D-Ribose 5-phosphate;D-Xylulose 5-phosphate	C03736;C00231	Glyceraldehyde 3-phosphate;Sedoheptulose 7-phosphate	C00661;C05382	b2935	b2465;b2935	b2935
TKT1		2.2.1.1	reverse	Glyceraldehyde 3-phosphate;Sedoheptulose 7-phosphate	C00661;C05382	Alpha-D-Ribose 5-phosphate;D-Xylulose 5-phosphate	C03736;C00231	b2935	b2465;b2935	b2935
TKT1		2.2.1.1	forward	Alpha-D-Ribose 5-phosphate;D-Xylulose 5-phosphate	C03736;C00231	Glyceraldehyde 3-phosphate;Sedoheptulose 7-phosphate	C00661;C05382	b2465	b2465;b2935	b2465
TKT1		2.2.1.1	reverse	Glyceraldehyde 3-phosphate;Sedoheptulose 7-phosphate	C00661;C05382	Alpha-D-Ribose 5-phosphate;D-Xylulose 5-phosphate	C03736;C00231	b2465	b2465;b2935	b2465
TKT2	R01830	2.2.1.1	forward	D-Erythrose 4-phosphate;D-Xylulose 5-phosphate	C00279;C00231	D-Fructose 6-phosphate;Glyceraldehyde 3-phosphate	C05345;C00661	b2935	b2465;b2935	b2935
TKT2	R01830	2.2.1.1	reverse	D-Fructose 6-phosphate;Glyceraldehyde 3-phosphate	C05345;C00661	D-Erythrose 4-phosphate;D-Xylulose 5-phosphate	C00279;C00231	b2935	b2465;b2935	b2935
TKT2	R01830	2.2.1.1	forward	D-Erythrose 4-phosphate;D-Xylulose 5-phosphate	C00279;C00231	D-Fructose 6-phosphate;Glyceraldehyde 3-phosphate	C05345;C00661	b2465	b2465;b2935	b2465
TKT2	R01830	2.2.1.1	reverse	D-Fructose 6-phosphate;Glyceraldehyde 3-phosphate	C05345;C00661	D-Erythrose 4-phosphate;D-Xylulose 5-phosphate	C00279;C00231	b2465	b2465;b2935	b2465
TPI	R01015	5.3.1.1	forward	Dihydroxyacetone phosphate	C00111	Glyceraldehyde 3-phosphate	C00661	b3919	b3919	b3919
TPI	R01015	5.3.1.1	reverse	Glyceraldehyde 3-phosphate	C00661	Dihydroxyacetone phosphate	C00111	b3919	b3919	b3919
FBA	R01068	4.1.2.13	forward	D-Fructose 1,6-bisphosphate	C00354	Dihydroxyacetone phosphate;Glyceraldehyde 3-phosphate	C00111;C00661	b2097	b2097;b2925	b2097
FBA	R01068	4.1.2.13	reverse	Dihydroxyacetone phosphate;Glyceraldehyde 3-phosphate	C00111;C00661	D-Fructose 1,6-bisphosphate	C00354	b2097	b2097;b2925	b2097
FBA	R01068	4.1.2.13	forward	D-Fructose 1,6-bisphosphate	C00354	Dihydroxyacetone phosphate;Glyceraldehyde 3-phosphate	C00111;C00661	b1773	b2097;b2925	
FBA	R01068	4.1.2.13	reverse	Dihydroxyacetone phosphate;Glyceraldehyde 3-phosphate	C00111;C00661	D-Fructose 1,6-bisphosphate	C00354	b1773	b2097;b2925	
FBA	R01068	4.1.2.13	forward	D-Fructose 1,6-bisphosphate	C00354	Dihydroxyacetone phosphate;Glyceraldehyde 3-phosphate	C00111;C00661	b2925	b2097;b2925	b2925
FBA	R01068	4.1.2.13	reverse	Dihydroxyacetone phosphate;Glyceraldehyde 3-phosphate	C00111;C00661	D-Fructose 1,6-bisphosphate	C00354	b2925	b2097;b2925	b2925
FBP		3.1.3.11	forward	D-Fructose 1,6-bisphosphate;H2O H2O	C00354;C00001	D-Fructose 6-phosphate;Phosphate	C05345;C00009	b3925	b2930;b3925;b4232	b3925
FBP		3.1.3.11	forward	D-Fructose 1,6-bisphosphate;H2O H2O	C00354;C00001	D-Fructose 6-phosphate;Phosphate	C05345;C00009	b4232	b2930;b3925;b4232	b4232
FUM	R01082	4.2.1.2	forward	Fumarate;H2O H2O	C00122;C00001	L-Malate	C00149	b1612	b1611;b1612;b1675;b2929;b4122	b1612
FUM	R01082	4.2.1.2	reverse	L-Malate	C00149	Fumarate;H2O H2O	C00122;C00001	b1612	b1611;b1612;b1675;b2929;b4122	b1612
FUM	R01082	4.2.1.2	forward	Fumarate;H2O H2O	C00122;C00001	L-Malate	C00149	b4122	b1611;b1612;b1675;b2929;b4122	b4122
FUM	R01082	4.2.1.2	reverse	L-Malate	C00149	Fumarate;H2O H2O	C00122;C00001	b4122	b1611;b1612;b1675;b2929;b4122	b4122
FUM	R01082	4.2.1.2	forward	Fumarate;H2O H2O	C00122;C00001	L-Malate	C00149	b1611	b1611;b1612;b1675;b2929;b4122	b1611
FUM	R01082	4.2.1.2	reverse	L-Malate	C00149	Fumarate;H2O H2O	C00122;C00001	b1611	b1611;b1612;b1675;b2929;b4122	b1611
G6PDH2r	R00835	1.1.1.363	forward	D-Glucose 6-phosphate;Nicotinamide adenine dinucleotide phosphate	C00092;C00006	6-phospho-D-glucono-1,5-lactone;H+;Nicotinamide adenine dinucleotide phosphate - reduced	C01236;C00080;C00005	b1852	b1852	b1852
G6PDH2r	R00835	1.1.1.363	reverse	6-phospho-D-glucono-1,5-lactone;H+;Nicotinamide adenine dinucleotide phosphate - reduced	C01236;C00080;C00005	D-Glucose 6-phosphate;Nicotinamide adenine dinucleotide phosphate	C00092;C00006	b1852	b1852	b1852
G6PDH2r	R00835	1.1.1.49	forward	D-Glucose 6-phosphate;Nicotinamide adenine dinucleotide phosphate	C00092;C00006	6-phospho-D-glucono-1,5-lactone;H+;Nicotinamide adenine dinucleotide phosphate - reduced	C01236;C00080;C00005	b1852	b1852	b1852
G6PDH2r	R00835	1.1.1.49	reverse	6-phospho-D-glucono-1,5-lactone;H+;Nicotinamide adenine dinucleotide phosphate - reduced	C01236;C00080;C00005	D-Glucose 6-phosphate;Nicotinamide adenine dinucleotide phosphate	C00092;C00006	b1852	b1852	b1852
GAPD	R01061	1.2.1.12	forward	Glyceraldehyde 3-phosphate;Nicotinamide adenine dinucleotide;Phosphate	C00661;C00003;C00009	3-Phospho-D-glyceroyl phosphate;H+;Nicotinamide adenine dinucleotide - reduced	C00236;C00080;C00004	b1779	b1779	b1779
GAPD	R01061	1.2.1.12	reverse	3-Phospho-D-glyceroyl phosphate;H+;Nicotinamide adenine dinucleotide - reduced	C00236;C00080;C00004	Glyceraldehyde 3-phosphate;Nicotinamide adenine dinucleotide;Phosphate	C00661;C00003;C00009	b1779	b1779	b1779
GAPD	R01061	1.2.1.59	forward	Glyceraldehyde 3-phosphate;Nicotinamide adenine dinucleotide;Phosphate	C00661;C00003;C00009	3-Phospho-D-glyceroyl phosphate;H+;Nicotinamide adenine dinucleotide - reduced	C00236;C00080;C00004	b1779		
GAPD	R01061	1.2.1.59	reverse	3-Phospho-D-glyceroyl phosphate;H+;Nicotinamide adenine dinucleotide - reduced	C00236;C00080;C00004	Glyceraldehyde 3-phosphate;Nicotinamide adenine dinucleotide;Phosphate	C00661;C00003;C00009	b1779		
GLNS	R00253	6.3.1.2	forward	ATP C10H12N5O13P3;L-Glutamate;Ammonium	C00002;C00025;C00014	ADP C10H12N5O10P2;L-Glutamine;H+;Phosphate	C00008;C00064;C00080;C00009	b3870	b3870	b3870
GLNS	R00253	6.3.1.2	forward	ATP C10H12N5O13P3;L-Glutamate;Ammonium	C00002;C00025;C00014	ADP C10H12N5O10P2;L-Glutamine;H+;Phosphate	C00008;C00064;C00080;C00009	b1297	b3870	
GLNabc		3.6.3.21	forward	ATP C10H12N5O13P3;L-Glutamine;H2O H2O	C00002;C00064;C00001	ADP C10H12N5O10P2;L-Glutamine;H+;Phosphate	C00008;C00064;C00080;C00009	b0811;b0810;b0809		
GLUDy	R00248	1.4.1.13	forward	L-Glutamate;H2O H2O;Nicotinamide adenine dinucleotide phosphate	C00025;C00001;C00006	2-Oxoglutarate;H+;Nicotinamide adenine dinucleotide phosphate - reduced;Ammonium	C00026;C00080;C00005;C00014	b1761	b3212;b3213	
GLUDy	R00248	1.4.1.13	reverse	2-Oxoglutarate;H+;Nicotinamide adenine dinucleotide phosphate - reduced;Ammonium	C00026;C00080;C00005;C00014	L-Glutamate;H2O H2O;Nicotinamide adenine dinucleotide phosphate	C00025;C00001;C00006	b1761	b3212;b3213	
GLUDy	R00248	1.4.1.3	forward	L-Glutamate;H2O H2O;Nicotinamide adenine dinucleotide phosphate	C00025;C00001;C00006	2-Oxoglutarate;H+;Nicotinamide adenine dinucleotide phosphate - reduced;Ammonium	C00026;C00080;C00005;C00014	b1761		
GLUDy	R00248	1.4.1.3	reverse	2-Oxoglutarate;H+;Nicotinamide adenine dinucleotide phosphate - reduced;Ammonium	C00026;C00080;C00005;C00014	L-Glutamate;H2O H2O;Nicotinamide adenine dinucleotide phosphate	C00025;C00001;C00006	b1761		
GLUDy	R00248	1.4.1.4	forward	L-Glutamate;H2O H2O;Nicotinamide adenine dinucleotide phosphate	C00025;C00001;C00006	2-Oxoglutarate;H+;Nicotinamide adenine dinucleotide phosphate - reduced;Ammonium	C00026;C00080;C00005;C00014	b1761	b1761	b1761
GLUDy	R00248	1.4.1.4	reverse	2-Oxoglutarate;H+;Nicotinamide adenine dinucleotide phosphate - reduced;Ammonium	C00026;C00080;C00005;C00014	L-Glutamate;H2O H2O;Nicotinamide adenine dinucleotide phosphate	C00025;C00001;C00006	b1761	b1761	b1761
GLUN	R00256	6.3.5.2	forward	L-Glutamine;H2O H2O	C00064;C00001	L-Glutamate;Ammonium	C00025;C00014	b1812	b2507	
GLUN	R00256	6.3.5.2	forward	L-Glutamine;H2O H2O	C00064;C00001	L-Glutamate;Ammonium	C00025;C00014	b0485	b2507	
GLUN	R00256	6.3.5.2	forward	L-Glutamine;H2O H2O	C00064;C00001	L-Glutamate;Ammonium	C00025;C00014	b1524	b2507	
GLUN	R00256	4.3.3.6	forward	L-Glutamine;H2O H2O	C00064;C00001	L-Glutamate;Ammonium	C00025;C00014	b1812		
GLUN	R00256	4.3.3.6	forward	L-Glutamine;H2O H2O	C00064;C00001	L-Glutamate;Ammonium	C00025;C00014	b0485		
GLUN	R00256	4.3.3.6	forward	L-Glutamine;H2O H2O	C00064;C00001	L-Glutamate;Ammonium	C00025;C00014	b1524		
GLUN	R00256	6.3.5.5	forward	L-Glutamine;H2O H2O	C00064;C00001	L-Glutamate;Ammonium	C00025;C00014	b1812	b0032;b0033	
GLUN	R00256	6.3.5.5	forward	L-Glutamine;H2O H2O	C00064;C00001	L-Glutamate;Ammonium	C00025;C00014	b0485	b0032;b0033	
GLUN	R00256	6.3.5.5	forward	L-Glutamine;H2O H2O	C00064;C00001	L-Glutamate;Ammonium	C00025;C00014	b1524	b0032;b0033	
GLUN	R00256	1.4.7.1	forward	L-Glutamine;H2O H2O	C00064;C00001	L-Glutamate;Ammonium	C00025;C00014	b1812		
GLUN	R00256	1.4.7.1	forward	L-Glutamine;H2O H2O	C00064;C00001	L-Glutamate;Ammonium	C00025;C00014	b0485		
GLUN	R00256	1.4.7.1	forward	L-Glutamine;H2O H2O	C00064;C00001	L-Glutamate;Ammonium	C00025;C00014	b1524		
GLUN	R00256	6.3.5.4	forward	L-Glutamine;H2O H2O	C00064;C00001	L-Glutamate;Ammonium	C00025;C00014	b1812	b0674	
GLUN	R00256	6.3.5.4	forward	L-Glutamine;H2O H2O	C00064;C00001	L-Glutamate;Ammonium	C00025;C00014	b0485	b0674	
GLUN	R00256	6.3.5.4	forward	L-Glutamine;H2O H2O	C00064;C00001	L-Glutamate;Ammonium	C00025;C00014	b1524	b0674	
GLUN	R00256	3.5.1.2	forward	L-Glutamine;H2O H2O	C00064;C00001	L-Glutamate;Ammonium	C00025;C00014	b1812	b0485;b1524	
GLUN	R00256	3.5.1.2	forward	L-Glutamine;H2O H2O	C00064;C00001	L-Glutamate;Ammonium	C00025;C00014	b0485	b0485;b1524	b0485
GLUN	R00256	3.5.1.2	forward	L-Glutamine;H2O H2O	C00064;C00001	L-Glutamate;Ammonium	C00025;C00014	b1524	b0485;b1524	b1524
GLUN	R00256	6.3.4.2	forward	L-Glutamine;H2O H2O	C00064;C00001	L-Glutamate;Ammonium	C00025;C00014	b1812	b2780	
GLUN	R00256	6.3.4.2	forward	L-Glutamine;H2O H2O	C00064;C00001	L-Glutamate;Ammonium	C00025;C00014	b0485	b2780	
GLUN	R00256	6.3.4.2	forward	L-Glutamine;H2O H2O	C00064;C00001	L-Glutamate;Ammonium	C00025;C00014	b1524	b2780	
GLUN	R00256	1.4.1.13	forward	L-Glutamine;H2O H2O	C00064;C00001	L-Glutamate;Ammonium	C00025;C00014	b1812	b3212;b3213	
GLUN	R00256	1.4.1.13	forward	L-Glutamine;H2O H2O	C00064;C00001	L-Glutamate;Ammonium	C00025;C00014	b0485	b3212;b3213	
GLUN	R00256	1.4.1.13	forward	L-Glutamine;H2O H2O	C00064;C00001	L-Glutamate;Ammonium	C00025;C00014	b1524	b3212;b3213	
GLUN	R00256	3.5.1.38	forward	L-Glutamine;H2O H2O	C00064;C00001	L-Glutamate;Ammonium	C00025;C00014	b1812		
GLUN	R00256	3.5.1.38	forward	L-Glutamine;H2O H2O	C00064;C00001	L-Glutamate;Ammonium	C00025;C00014	b0485		
GLUN	R00256	3.5.1.38	forward	L-Glutamine;H2O H2O	C00064;C00001	L-Glutamate;Ammonium	C00025;C00014	b1524		
GLUSy	R00114	1.4.1.13	forward	2-Oxoglutarate;L-Glutamine;H+;Nicotinamide adenine dinucleotide phosphate - reduced	C00026;C00064;C00080;C00005	L-Glutamate;Nicotinamide adenine dinucleotide phosphate	C00025;C00006	b3212;b3213	b3212;b3213	b3213;b3212
GND	R01528	1.1.1.44	forward	6-Phospho-D-gluconate;Nicotinamide adenine dinucleotide phosphate	C00345;C00006	CO2 CO2;Nicotinamide adenine dinucleotide phosphate - reduced;D-Ribulose 5-phosphate	C00011;C00005;C00199	b2029	b2029	b2029
GND	R01528	1.1.1.351	forward	6-Phospho-D-gluconate;Nicotinamide adenine dinucleotide phosphate	C00345;C00006	CO2 CO2;Nicotinamide adenine dinucleotide phosphate - reduced;D-Ribulose 5-phosphate	C00011;C00005;C00199	b2029		
ICDHyr	R00267	1.1.1.42	forward	Isocitrate;Nicotinamide adenine dinucleotide phosphate	C00311;C00006	2-Oxoglutarate;CO2 CO2;Nicotinamide adenine dinucleotide phosphate - reduced	C00026;C00011;C00005	b1136	b1136	b1136
ICDHyr	R00267	1.1.1.42	reverse	2-Oxoglutarate;CO2 CO2;Nicotinamide adenine dinucleotide phosphate - reduced	C00026;C00011;C00005	Isocitrate;Nicotinamide adenine dinucleotide phosphate	C00311;C00006	b1136	b1136	b1136
ICL	R00479	4.1.3.1	forward	Isocitrate	C00311	Glyoxylate;Succinate	C00048;C00042	b4015	b4015	b4015
LDH_D	R00704	1.1.1.28	forward	D-Lactate;Nicotinamide adenine dinucleotide	C00256;C00003	H+;Nicotinamide adenine dinucleotide - reduced;Pyruvate	C00080;C00004;C00022	b2133	b1380	
LDH_D	R00704	1.1.1.28	reverse	H+;Nicotinamide adenine dinucleotide - reduced;Pyruvate	C00080;C00004;C00022	D-Lactate;Nicotinamide adenine dinucleotide	C00256;C00003	b2133	b1380	
LDH_D	R00704	1.1.1.28	forward	D-Lactate;Nicotinamide adenine dinucleotide	C00256;C00003	H+;Nicotinamide adenine dinucleotide - reduced;Pyruvate	C00080;C00004;C00022	b1380	b1380	b1380
LDH_D	R00704	1.1.1.28	reverse	H+;Nicotinamide adenine dinucleotide - reduced;Pyruvate	C00080;C00004;C00022	D-Lactate;Nicotinamide adenine dinucleotide	C00256;C00003	b1380	b1380	b1380
MALS	R00472	2.3.3.9	forward	Acetyl-CoA;Glyoxylate;H2O H2O	C00024;C00048;C00001	Coenzyme A;H+;L-Malate	C00010;C00080;C00149	b4014	b2976;b4014	b4014
MALS	R00472	2.3.3.9	forward	Acetyl-CoA;Glyoxylate;H2O H2O	C00024;C00048;C00001	Coenzyme A;H+;L-Malate	C00010;C00080;C00149	b2976	b2976;b4014	b2976
MDH	R00342	1.1.1.37	forward	L-Malate;Nicotinamide adenine dinucleotide	C00149;C00003	H+;Nicotinamide adenine dinucleotide - reduced;Oxaloacetate	C00080;C00004;C00036	b3236	b3236	b3236
MDH	R00342	1.1.1.37	reverse	H+;Nicotinamide adenine dinucleotide - reduced;Oxaloacetate	C00080;C00004;C00036	L-Malate;Nicotinamide adenine dinucleotide	C00149;C00003	b3236	b3236	b3236
MDH	R00342	1.1.1.299	forward	L-Malate;Nicotinamide adenine dinucleotide	C00149;C00003	H+;Nicotinamide adenine dinucleotide - reduced;Oxaloacetate	C00080;C00004;C00036	b3236		
MDH	R00342	1.1.1.299	reverse	H+;Nicotinamide adenine dinucleotide - reduced;Oxaloacetate	C00080;C00004;C00036	L-Malate;Nicotinamide adenine dinucleotide	C00149;C00003	b3236		
ME1	R00214	1.1.1.38	forward	L-Malate;Nicotinamide adenine dinucleotide	C00149;C00003	CO2 CO2;Nicotinamide adenine dinucleotide - reduced;Pyruvate	C00011;C00004;C00022	b1479	b1479	b1479
ME1	R00214	1.1.1.39	forward	L-Malate;Nicotinamide adenine dinucleotide	C00149;C00003	CO2 CO2;Nicotinamide adenine dinucleotide - reduced;Pyruvate	C00011;C00004;C00022	b1479		
ME2	R00216	1.1.1.40	forward	L-Malate;Nicotinamide adenine dinucleotide phosphate	C00149;C00006	CO2 CO2;Nicotinamide adenine dinucleotide phosphate - reduced;Pyruvate	C00011;C00005;C00022	b2463	b2463	b2463
NADH16		1.6.5.3	forward	H+;Nicotinamide adenine dinucleotide - reduced;Ubiquinone-8	C00080;C00004;C17569	H+;Nicotinamide adenine dinucleotide;Ubiquinol-8	C00080;C00003;	b2276;b2277;b2278;b2279;b2280;b2281;b2282;b2283;b2284;b2285;b2286;b2287;b2288		
NADTRHD	R00112	1.6.1.3	forward	Nicotinamide adenine dinucleotide;Nicotinamide adenine dinucleotide phosphate - reduced	C00003;C00005	Nicotinamide adenine dinucleotide - reduced;Nicotinamide adenine dinucleotide phosphate	C00004;C00006	b3962		
NADTRHD	R00112	1.6.1.3	forward	Nicotinamide adenine dinucleotide;Nicotinamide adenine dinucleotide phosphate - reduced	C00003;C00005	Nicotinamide adenine dinucleotide - reduced;Nicotinamide adenine dinucleotide phosphate	C00004;C00006	b1602;b1603		
NADTRHD	R00112	1.6.1.2	forward	Nicotinamide adenine dinucleotide;Nicotinamide adenine dinucleotide phosphate - reduced	C00003;C00005	Nicotinamide adenine dinucleotide - reduced;Nicotinamide adenine dinucleotide phosphate	C00004;C00006	b3962		
NADTRHD	R00112	1.6.1.2	forward	Nicotinamide adenine dinucleotide;Nicotinamide adenine dinucleotide phosphate - reduced	C00003;C00005	Nicotinamide adenine dinucleotide - reduced;Nicotinamide adenine dinucleotide phosphate	C00004;C00006	b1602;b1603		
NADTRHD	R00112	1.6.1.1	forward	Nicotinamide adenine dinucleotide;Nicotinamide adenine dinucleotide phosphate - reduced	C00003;C00005	Nicotinamide adenine dinucleotide - reduced;Nicotinamide adenine dinucleotide phosphate	C00004;C00006	b3962	b3962	b3962
NADTRHD	R00112	1.6.1.1	forward	Nicotinamide adenine dinucleotide;Nicotinamide adenine dinucleotide phosphate - reduced	C00003;C00005	Nicotinamide adenine dinucleotide - reduced;Nicotinamide adenine dinucleotide phosphate	C00004;C00006	b1602;b1603	b3962	
PDH	R00209	1.2.1	forward	Coenzyme A;Nicotinamide adenine dinucleotide;Pyruvate	C00010;C00003;C00022	Acetyl-CoA;CO2 CO2;Nicotinamide adenine dinucleotide - reduced	C00024;C00011;C00004	b0114;b0115;b0116		
PDH	R00209	1.8.1.4	forward	Coenzyme A;Nicotinamide adenine dinucleotide;Pyruvate	C00010;C00003;C00022	Acetyl-CoA;CO2 CO2;Nicotinamide adenine dinucleotide - reduced	C00024;C00011;C00004	b0114;b0115;b0116	b0116	b0116
PDH	R00209	1.2.1.51	forward	Coenzyme A;Nicotinamide adenine dinucleotide;Pyruvate	C00010;C00003;C00022	Acetyl-CoA;CO2 CO2;Nicotinamide adenine dinucleotide - reduced	C00024;C00011;C00004	b0114;b0115;b0116		
PDH	R00209	1.2.4.1	forward	Coenzyme A;Nicotinamide adenine dinucleotide;Pyruvate	C00010;C00003;C00022	Acetyl-CoA;CO2 CO2;Nicotinamide adenine dinucleotide - reduced	C00024;C00011;C00004	b0114;b0115;b0116	b0114	b0114
PDH	R00209	2.3.1.12	forward	Coenzyme A;Nicotinamide adenine dinucleotide;Pyruvate	C00010;C00003;C00022	Acetyl-CoA;CO2 CO2;Nicotinamide adenine dinucleotide - reduced	C00024;C00011;C00004	b0114;b0115;b0116	b0115	b0115
